Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
191.0270597934723	0	-250.93053	127.94203	160.72119	-648.6491	112.3932584269663	34.87831752253653	40012	40012
611.1293947696686	1	-212.36076	120.679344	141.94916	-596.2874	118.2094395280236	35.78904637034704	40073	80085
6974.74625992775	2	-197.4873	113.378555	236.05165	-643.11005	136.343537414966	82.67307762722665	40085	120170
15741.017890691757	3	-164.39111	104.48888	193.75015	-529.9217	123.66975308641975	33.856617766777894	40069	160239
16266.667328834534	4	-119.31866	94.64431	190.8987	-369.39038	133.57666666666665	80.86274866848284	40073	200312
16760.47234082222	5	-94.105064	85.92346	222.4096	-315.68124	132.78807947019868	51.93871952963214	40102	240414
17515.211312770844	6	-69.03759	104.45959	203.43304	-311.00812	145.27173913043478	64.00324435745247	40095	280509
18379.388707637787	7	-42.681015	106.28262	200.23338	-195.97495	165.3621399176955	83.37564682993255	40183	320692
19358.962547779083	8	-70.8523	106.16013	215.01442	-255.63928	228.01685393258427	161.05650047470436	40587	361279
21888.997528791428	9	-86.57273	110.80693	200.83981	-367.93005	297.1397058823529	205.37545147972708	40411	401690
24687.74773669243	10	-110.65897	145.20056	215.05475	-468.14105	376.6203703703704	235.3049132033596	40675	442365
24814.829263687134	11	-85.376076	136.21788	217.29129	-414.75623	445.6043956043956	276.12988181113303	40550	482915
24960.43587088585	12	-33.604324	129.68916	245.09836	-266.8412	627.28125	313.39384510299095	40146	523061
25294.542542696	13	8.131416	142.70055	230.51637	-338.2946	577.4285714285714	327.4195024922078	40420	563481
25516.48663377762	14	-15.288938	137.8987	238.61845	-285.45486	621.030303030303	341.2091675958067	40988	604469
25649.227670907974	15	-11.825043	137.12917	226.96457	-367.11295	506.6875	337.1908062859217	40535	645004
26908.713835954666	16	26.471718	159.9011	231.71921	-349.5833	484.1904761904762	338.3916256207435	40672	685676
27047.824790000916	17	2.360807	141.71066	224.96167	-313.03394	534.7066666666667	372.8599656111602	40103	725779
27181.557142019272	18	62.848583	131.68423	228.86182	-274.39062	419.8958333333333	311.39245331677336	40310	766089
27370.68777489662	19	56.355988	127.0364	221.75446	-179.2607	412.55670103092785	315.3340225127401	40018	806107
27615.927533626556	20	91.42234	118.35753	224.5423	-163.38112	400.32	294.9977925341137	40032	846139
31263.29962182045	21	83.43624	117.41424	242.849	-142.10815	284.65248226950354	231.78817628181795	40136	886275
31500.158979654312	22	100.38325	117.24482	245.58034	-186.63673	280.75524475524475	220.52132182984812	40148	926423
31718.810330867767	23	101.654915	114.49734	235.14258	-104.97171	294.58088235294116	246.2522485757911	40063	966486
31949.955195903778	24	104.73756	116.292725	247.87204	-142.8803	271.10135135135135	232.07712895060905	40123	1006609
32155.996092796326	25	114.58046	111.851654	256.38226	-276.6281	255.01257861635222	188.5738594575325	40547	1047156
32356.797273635864	26	114.63022	110.92212	254.30382	-107.213684	263.26973684210526	207.42661893314468	40017	1087173
32552.278144836426	27	106.74592	121.82595	247.36124	-243.7472	252.24528301886792	184.23121639424275	40107	1127280
32785.34840083122	28	102.67332	118.81806	251.32312	-164.32118	261.7124183006536	209.53551723524276	40042	1167322
32998.9793548584	29	108.81193	114.16436	244.37657	-100.47749	259.0705128205128	189.54615540269378	40415	1207737
33204.224121809006	30	110.82483	116.83866	252.63995	-201.00955	260.75324675324674	212.99330248870038	40156	1247893
33425.92795085907	31	107.1613	114.07368	238.01831	-130.0559	276.41379310344826	244.15110036563482	40080	1287973
33683.960894823074	32	110.276596	114.63412	245.2944	-146.35605	337.2689075630252	298.39815197230564	40135	1328108
33908.88046169281	33	117.73148	108.312744	235.57677	-132.60898	264.96753246753246	214.86006980174326	40805	1368913
34110.904201984406	34	139.02092	106.6067	254.03957	-310.37762	266.7712418300654	205.12949828923314	40816	1409729
34305.671670913696	35	135.43416	102.0654	255.17838	-175.25339	252.32075471698113	188.74712112443922	40119	1449848
34495.682265758514	36	139.7669	101.1262	245.06015	-226.8666	240.11764705882354	166.25812049267785	40820	1490668
34715.20847988129	37	146.35764	89.18207	247.24792	-89.64813	289.1294964028777	218.9590098143556	40189	1530857
34894.05453777313	38	164.92598	83.277504	248.39182	-262.8093	249.38509316770185	122.07654976034027	40151	1571008
36601.797976732254	39	145.47942	94.04775	256.028	-153.58638	284.73943661971833	212.55096090106082	40433	1611441
36842.7105588913	40	153.4874	90.90054	239.91946	-144.47543	307.42748091603056	234.37501855175418	40273	1651714
37081.30049991608	41	149.42305	91.974556	258.11865	-96.43736	334.3833333333333	261.97026495810974	40126	1691840
37345.34711074829	42	146.92064	88.73755	246.98598	-75.50279	348.69565217391306	261.52207235513123	40100	1731940
37594.91407084465	43	122.36764	113.93394	238.88727	-284.95047	367.7798165137615	295.611614705157	40088	1772028
37854.32755303383	44	143.2551	99.41963	251.1206	-118.63546	368.26605504587155	302.6575150505062	40141	1812169
38096.56908369064	45	126.895454	110.7009	255.72894	-266.51913	343.87179487179486	292.95148626869064	40233	1852402
38339.7029607296	46	139.92336	100.888695	268.86957	-192.88081	313.7984496124031	278.9348338734047	40480	1892882
38575.25024199486	47	138.19226	108.89471	252.36082	-348.6924	291.0217391304348	251.59014483219642	40161	1933043
