Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.2228758335113525	0	24.119047	13.904782	65.0	10.0	24.11904761904762	13.904782289613237	1013	1013
4.8083131313323975	1	39.96154	19.178274	86.0	12.0	39.96153846153846	19.178274505746117	1039	2052
6.378296136856079	2	45.545456	17.089943	79.0	24.0	45.54545454545455	17.089941945556145	1002	3054
7.704391002655029	3	48.714287	15.467763	85.0	19.0	48.714285714285715	15.467763273346023	1023	4077
9.123803853988647	4	56.473682	25.964285	140.0	27.0	56.473684210526315	25.964284013261942	1073	5150
10.482249021530151	5	57.666668	21.079216	100.0	33.0	57.666666666666664	21.07921567168317	1038	6188
11.814441919326782	6	56.333332	24.205143	116.0	34.0	56.333333333333336	24.20514178617611	1014	7202
13.183927059173584	7	55.68421	26.950348	155.0	26.0	55.68421052631579	26.950349341704072	1058	8260
14.381819009780884	8	62.875	20.49047	102.0	31.0	62.875	20.49047034599255	1006	9266
15.739381074905396	9	61.35294	28.82185	139.0	26.0	61.35294117647059	28.82184869049375	1043	10309
17.013947010040283	10	67.53333	24.982304	113.0	33.0	67.53333333333333	24.982304848743553	1013	11322
18.29553508758545	11	72.78571	23.79129	123.0	39.0	72.78571428571429	23.791290637627917	1019	12341
19.565186977386475	12	64.875	17.247736	114.0	40.0	64.875	17.247735358591285	1038	13379
20.791966915130615	13	58.055557	12.686266	83.0	42.0	58.05555555555556	12.686266512441371	1045	14424
22.081958055496216	14	58.555557	12.872115	85.0	38.0	58.55555555555556	12.872115522504114	1054	15478
23.40261697769165	15	65.0625	16.868864	108.0	46.0	65.0625	16.86886462539788	1041	16519
24.671573877334595	16	63.235294	21.824244	126.0	39.0	63.23529411764706	21.824242893046055	1075	17594
25.85714817047119	17	77.38461	34.559956	179.0	43.0	77.38461538461539	34.55995562127328	1006	18600
27.147815942764282	18	99.0	43.570213	200.0	55.0	99.0	43.57021501397068	1089	19689
28.368778944015503	19	91.63636	29.671757	155.0	54.0	91.63636363636364	29.6717580055597	1008	20697
29.580286979675293	20	84.416664	21.187489	115.0	45.0	84.41666666666667	21.187489757454095	1013	21710
30.80315899848938	21	63.1875	17.386126	98.0	39.0	63.1875	17.386125035498853	1011	22721
32.130913972854614	22	64.9375	19.737238	100.0	41.0	64.9375	19.737238756979153	1039	23760
33.37501096725464	23	53.842106	10.022412	80.0	41.0	53.8421052631579	10.022412556994642	1023	24783
34.579530000686646	24	63.5625	28.911436	133.0	34.0	63.5625	28.911435345724364	1017	25800
35.82785105705261	25	58.5	20.100443	109.0	33.0	58.5	20.10044222841323	1053	26853
37.10822510719299	26	77.69231	43.573784	200.0	42.0	77.6923076923077	43.57378289996196	1010	27863
38.3215548992157	27	54.473682	24.182135	121.0	33.0	54.473684210526315	24.182134381991556	1035	28898
39.56527090072632	28	46.272728	11.286282	75.0	30.0	46.27272727272727	11.286282173030065	1018	29916
40.808894872665405	29	49.238094	12.508681	82.0	33.0	49.23809523809524	12.508681792315524	1034	30950
42.17591595649719	30	39.346153	7.2214546	60.0	29.0	39.34615384615385	7.221454720762547	1023	31973
43.432600021362305	31	48.47619	11.8587675	69.0	29.0	48.476190476190474	11.85876829554943	1018	32991
44.60995888710022	32	43.565216	10.48322	67.0	32.0	43.56521739130435	10.483220907951663	1002	33993
45.804657220840454	33	42.958332	11.178399	61.0	26.0	42.958333333333336	11.178398687746927	1031	35024
47.007363080978394	34	39.76923	7.3343644	57.0	28.0	39.76923076923077	7.334364281127849	1034	36058
48.186548948287964	35	45.5	11.228009	69.0	32.0	45.5	11.22800880914251	1001	37059
49.400436878204346	36	41.875	7.88095	61.0	31.0	41.875	7.880950133074057	1005	38064
50.5783269405365	37	48.57143	10.803753	67.0	33.0	48.57142857142857	10.803753441992935	1020	39084
51.82854700088501	38	48.95238	13.994816	78.0	30.0	48.95238095238095	13.994816014633658	1028	40112
53.05974102020264	39	48.42857	14.430693	85.0	31.0	48.42857142857143	14.430692913342162	1017	41129
54.272966146469116	40	51.15	16.208872	101.0	34.0	51.15	16.208871027927884	1023	42152
55.52304005622864	41	53.55	14.991581	85.0	38.0	53.55	14.991580970664836	1071	43223
57.12309908866882	42	54.473682	13.441367	83.0	38.0	54.473684210526315	13.441367494076015	1035	44258
58.72840905189514	43	50.95	12.039413	84.0	37.0	50.95	12.039414437587903	1019	45277
60.11191201210022	44	62.9375	12.842648	85.0	42.0	62.9375	12.842647458760206	1007	46284
61.482537031173706	45	61.117645	17.519342	107.0	40.0	61.11764705882353	17.519341758186535	1039	47323
62.87280201911926	46	59.588234	11.371061	84.0	44.0	59.588235294117645	11.371061430767302	1013	48336
64.35149598121643	47	56.77778	16.270475	106.0	42.0	56.77777777777778	16.27047617808798	1022	49358
65.66482996940613	48	66.625	26.55625	132.0	40.0	66.625	26.55624926453282	1066	50424
66.87985301017761	49	60.82353	17.750675	111.0	41.0	60.8235294117647	17.750676189664198	1034	51458
68.16133499145508	50	66.875	22.273514	126.0	46.0	66.875	22.273512857203283	1070	52528
69.44487023353577	51	67.46667	18.994268	99.0	42.0	67.46666666666667	18.99426814126362	1012	53540
70.67057800292969	52	66.25	19.55601	112.0	43.0	66.25	19.556009306604455	1060	54600
71.96599197387695	53	89.666664	21.891146	133.0	55.0	89.66666666666667	21.891144835805694	1076	55676
73.37756299972534	54	85.5	24.557755	151.0	54.0	85.5	24.55775505483621	1026	56702
75.16594815254211	55	80.28571	21.94613	131.0	54.0	80.28571428571429	21.946130708196023	1124	57826
