Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
35.32790684700012	0	23.0	11.582571	73.0	9.0	23.0	11.582571532382275	5014	5014
64.61409592628479	1	45.50909	24.469181	117.0	16.0	45.50909090909091	24.4691811560232	5006	10020
92.37233686447144	2	68.13333	32.925102	200.0	21.0	68.13333333333334	32.925100185454596	5110	15130
118.84084892272949	3	128.92308	52.465565	200.0	27.0	128.92307692307693	52.465561166171305	5028	20158
147.4342200756073	4	151.11765	39.181904	200.0	85.0	151.11764705882354	39.1819021142057	5138	25296
175.90924787521362	5	168.03334	45.597137	200.0	81.0	168.03333333333333	45.59713684968486	5041	30337
205.06260681152344	6	198.46153	7.692307	200.0	160.0	198.46153846153845	7.692307692307693	5160	35497
234.4455680847168	7	200.0	0.0	200.0	200.0	200.0	0.0	5200	40697
263.3021340370178	8	197.8077	6.4451485	200.0	176.0	197.80769230769232	6.445148627332217	5143	45840
291.7592017650604	9	183.17857	22.219769	200.0	130.0	183.17857142857142	22.219768501154505	5129	50969
320.1995768547058	10	158.125	22.457947	200.0	117.0	158.125	22.457946811763538	5060	56029
348.87889099121094	11	154.36363	30.261305	200.0	107.0	154.36363636363637	30.261304606276134	5094	61123
376.41121792793274	12	139.91667	25.847174	192.0	73.0	139.91666666666666	25.84717371181787	5037	66160
405.39631700515747	13	133.55263	19.714672	200.0	97.0	133.55263157894737	19.714671758578085	5075	71235
433.45005893707275	14	141.19444	29.540762	200.0	101.0	141.19444444444446	29.540762275243832	5083	76318
461.4282429218292	15	153.84848	25.511877	200.0	118.0	153.84848484848484	25.511876274348175	5077	81395
489.29042983055115	16	163.19354	23.81978	200.0	116.0	163.19354838709677	23.819779467084953	5059	86454
517.5450088977814	17	178.13792	19.423988	200.0	130.0	178.13793103448276	19.423988258267475	5166	91620
544.6438310146332	18	189.0	16.990192	200.0	147.0	189.0	16.990193249832878	5103	96723
572.7473878860474	19	189.40741	16.02142	200.0	151.0	189.40740740740742	16.02141913365484	5114	101837
602.1028130054474	20	189.66667	14.817408	200.0	146.0	189.66666666666666	14.817407180595248	5121	106958
631.5143539905548	21	191.22223	11.672485	200.0	153.0	191.22222222222223	11.672485321483464	5163	112121
658.6908059120178	22	196.15384	8.332938	200.0	161.0	196.15384615384616	8.332938846678596	5100	117221
683.7318599224091	23	191.74074	13.639791	200.0	155.0	191.74074074074073	13.639790898235923	5177	122398
2620.605654001236	24	194.6923	9.408545	200.0	169.0	194.69230769230768	9.408544523951171	5062	127460
2659.744803905487	25	196.46153	9.4715395	200.0	161.0	196.46153846153845	9.471539429870818	5108	132568
2685.9762399196625	26	197.73077	5.687758	200.0	177.0	197.73076923076923	5.687758057088605	5141	137709
3637.666051864624	27	196.8077	8.948654	200.0	167.0	196.80769230769232	8.948653662247963	5117	142826
3666.524405002594	28	188.74074	13.451126	200.0	158.0	188.74074074074073	13.451125775803614	5096	147922
4978.186122894287	29	192.65384	12.904806	200.0	159.0	192.65384615384616	12.904806223598985	5009	152931
6845.964803934097	30	181.85715	20.230307	200.0	145.0	181.85714285714286	20.23030662452868	5092	158023
6888.857256889343	31	186.81482	17.80353	200.0	138.0	186.8148148148148	17.803530729807164	5044	163067
6912.112518787384	32	175.2069	22.461277	200.0	139.0	175.20689655172413	22.461275964530948	5081	168148
8683.61187696457	33	171.06667	17.907043	200.0	148.0	171.06666666666666	17.907043927522547	5132	173280
10714.281755924225	34	162.3871	22.365984	200.0	125.0	162.38709677419354	22.365984281081897	5034	178314
11772.601554870605	35	159.96875	19.10413	200.0	129.0	159.96875	19.104129748237682	5119	183433
11804.894220113754	36	155.60606	17.280115	193.0	130.0	155.6060606060606	17.280115378997863	5135	188568
15471.980908870697	37	161.5	19.84471	200.0	132.0	161.5	19.844709622466134	5168	193736
15506.400212049484	38	166.29033	17.156197	200.0	129.0	166.29032258064515	17.156196187904744	5155	198891
15531.695311784744	39	171.8	17.409576	200.0	140.0	171.8	17.409575909060315	5154	204045
15575.645260810852	40	161.58064	14.972609	200.0	137.0	161.58064516129033	14.97260766295999	5009	209054
15601.539953947067	41	164.41936	18.408928	200.0	134.0	164.41935483870967	18.408928747982134	5097	214151
15640.116456985474	42	156.75	15.791612	200.0	134.0	156.75	15.791611697353757	5016	219167
15691.248116016388	43	150.29411	14.109923	188.0	128.0	150.2941176470588	14.109924358334592	5110	224277
15733.173082828522	44	153.12122	15.509054	180.0	127.0	153.12121212121212	15.509054199632091	5053	229330
15757.823690891266	45	151.26471	15.055405	189.0	125.0	151.26470588235293	15.055405172677844	5143	234473
15794.645836114883	46	158.90625	16.826986	191.0	121.0	158.90625	16.826986091914975	5085	239558
15834.596908092499	47	165.70967	15.377389	200.0	139.0	165.70967741935485	15.377389241868784	5137	244695
15874.698202848434	48	178.13792	14.114614	200.0	154.0	178.13793103448276	14.114614920006543	5166	249861
15905.210933923721	49	190.25926	9.586226	200.0	163.0	190.25925925925927	9.586226974125498	5137	254998
15969.759319782257	50	191.62962	11.496048	200.0	158.0	191.62962962962962	11.496048107286608	5174	260172
16005.075535774231	51	194.03847	10.330987	200.0	167.0	194.03846153846155	10.33098688126301	5045	265217
16036.521576881409	52	196.46153	5.6584234	200.0	182.0	196.46153846153845	5.658423055877842	5108	270325
16079.180914878845	53	198.88461	3.3892014	200.0	185.0	198.8846153846154	3.3892014384708005	5171	275496
16118.563303947449	54	200.0	0.0	200.0	200.0	200.0	0.0	5200	280696
